country,renewables_share_energy,carbon_intensity_elec,energy_per_gdp,renewable_normalized,carbon_normalized,efficiency_normalized,renewable_score,carbon_score,efficiency_score,transition_score,transition_score_100,transition_category
Norway,69.64840698242188,29.63999938964844,1.1062326431274414,0.8485815100560117,0.0015330937710081628,0.16244185365435682,0.8485815100560117,0.9984669062289918,0.8375581463456432,0.9063309957831301,90.63309957831301,Transition Leader
Iceland,82.07533264160156,27.68000030517578,3.977871417999268,1.0000000000000002,0.0,0.8068614717633249,1.0000000000000002,1.0,0.1931385282366751,0.8386277056473351,83.86277056473351,Transition Leader
Sweden,52.433502197265625,41.02999877929688,1.2579171657562256,0.6388228812054094,0.010442249522351257,0.1964811217547972,0.6388228812054094,0.9895577504776487,0.8035188782452027,0.8120560283222639,81.20560283222639,Transition Leader
Brazil,47.6599235534668,103.38999938964844,1.1707669496536257,0.5806582080033165,0.059219684804428144,0.17692388862701353,0.5806582080033165,0.9407803151955718,0.8230761113729865,0.7731906315541527,77.31906315541526,Transition Leader
New Zealand,43.2949333190918,112.37999725341795,1.1600520610809326,0.5274720662305051,0.06625158080657854,0.17451937853942312,0.5274720662305051,0.9337484191934214,0.8254806214605769,0.749584318461686,74.95843184616861,Transition Leader
Switzerland,31.095836639404297,37.2599983215332,0.5318077206611633,0.3788296064154734,0.00749338884977065,0.03353612483945222,0.3788296064154734,0.9925066111502293,0.9664638751605478,0.7418272620583908,74.18272620583907,Transition Leader
Denmark,40.791603088378906,203.5800018310547,0.648663341999054,0.4969697124093346,0.1375874095023909,0.05975949789576945,0.4969697124093346,0.8624125904976091,0.9402405021042306,0.7318010215836237,73.18010215836237,Transition Leader
Austria,35.13408279418945,140.9499969482422,0.9573935866355896,0.42803446621343966,0.08859877929092104,0.12904113181445223,0.42803446621343966,0.9114012207090789,0.8709588681855478,0.7099660484061171,70.99660484061171,Transition Leader
Finland,34.8967399597168,129.97000122070312,1.4159835577011108,0.4251425125170459,0.08001032474063977,0.23195253439357238,0.4251425125170459,0.9199896752593603,0.7680474656064276,0.6916623682318479,69.16623682318479,Transitioning
Latvia,26.645931243896484,135.19000244140625,0.7515015602111816,0.32460879799825487,0.08409336305403169,0.08283724913912491,0.32460879799825487,0.9159066369459683,0.9171627508608751,0.6796387241498643,67.96387241498643,Transitioning
Colombia,28.38390350341797,202.1499938964844,0.8445032238960266,0.3457854866112498,0.13646887007329123,0.10370759575782926,0.3457854866112498,0.8635311299267088,0.8962924042421707,0.6629851274636176,66.29851274636177,Transitioning
Portugal,28.75320625305176,225.33999633789065,0.8879547715187073,0.3502853336543038,0.15460788277703919,0.11345848433416189,0.3502853336543038,0.8453921172229608,0.886541515665838,0.6555792834840735,65.55792834840734,Transitioning
Ecuador,28.426424026489254,181.19000244140625,1.272466063499451,0.3463035868696453,0.12007415203758856,0.1997460153791752,0.3463035868696453,0.8799258479624115,0.8002539846208248,0.6505425708569876,65.05425708569877,Transitioning
Croatia,25.052818298339844,244.67999267578125,0.9108632206916808,0.3051971781702878,0.16973545510696103,0.11859933080715715,0.3051971781702878,0.830264544893039,0.8814006691928429,0.6304648230638993,63.046482306389926,Transitioning
France,13.725915908813477,78.56999969482422,0.8632350564002991,0.16718215316705207,0.039805702813310403,0.10791117472274386,0.16718215316705207,0.9601942971866896,0.8920888252772561,0.629368345196948,62.9368345196948,Transitioning
Peru,26.15500259399414,287.8099975585937,0.9894393086433412,0.3186269745869639,0.20347135955366216,0.13623245828593128,0.3186269745869639,0.7965286404463379,0.8637675417140687,0.6188157543561345,61.88157543561344,Transitioning
Canada,29.49667739868164,160.60000610351562,2.2509117126464844,0.35934431423209817,0.10396884087659178,0.4193173546023183,0.35934431423209817,0.8960311591234082,0.5806826453976817,0.6182867184217389,61.82867184217389,Transitioning
Spain,20.876808166503903,217.1300048828125,0.979709804058075,0.25431370421256766,0.14818610081830066,0.13404907655836473,0.25431370421256766,0.8518138991816994,0.8659509234416353,0.6156412260460339,61.56412260460339,Transitioning
Lithuania,14.382125854492188,180.69000244140625,0.7671555280685425,0.17517788129692133,0.11968305650515859,0.0863501296855233,0.17517788129692133,0.8803169434948415,0.9136498703144766,0.6049279039796005,60.49279039796005,Transitioning
United Kingdom,19.072383880615234,254.97999572753903,0.7685531973838806,0.23232731690480307,0.177792025462076,0.08666377830118982,0.23232731690480307,0.822207974537924,0.9133362216988101,0.6044813609168529,60.44813609168529,Transitioning
Ireland,19.420204162597656,332.6400146484375,0.604594886302948,0.2365654063014968,0.23853699835885606,0.0498701700183089,0.2365654063014968,0.7614630016411439,0.9501298299816912,0.5892373291733946,58.92373291733946,Transitioning
Luxembourg,11.034748077392578,140.5,1.0745620727539062,0.1343910525846986,0.08824679569879176,0.15533471432889703,0.1343910525846986,0.9117532043012082,0.844665285671103,0.5873907598885834,58.73907598885834,Transitioning
Romania,17.783123016357422,297.7699890136719,0.7135645151138306,0.2166180466827194,0.2112619758759056,0.07432386078131906,0.2166180466827194,0.7887380241240944,0.925676139218681,0.5872776561664618,58.727765616646174,Transitioning
Chile,26.079269409179688,372.7999877929688,1.1230483055114746,0.31770418766461817,0.2699497705175233,0.16621542811176804,0.31770418766461817,0.7300502294824767,0.833784571888232,0.5858586812364843,58.58586812364843,Transitioning
Slovenia,15.911842346191406,257.489990234375,1.017531156539917,0.19381703369616415,0.1797553207381706,0.1425365025312924,0.19381703369616415,0.8202446792618294,0.8574634974687076,0.5771173846769391,57.711738467693905,Transitioning
Slovakia,9.672483444213867,142.0500030517578,1.1964110136032104,0.11779225258241086,0.08945919423638235,0.18267862980189925,0.11779225258241086,0.9105408057636176,0.8173213701981008,0.5747974973780317,57.47974973780317,Transitioning
Belgium,10.436023712158203,139.39999389648438,1.418181538581848,0.12709576960298272,0.08738638075333045,0.23244577957892432,0.12709576960298272,0.9126136192466695,0.7675542204210757,0.569394599624076,56.939459962407604,Transitioning
Sri Lanka,23.4489688873291,509.7799987792969,0.3823652863502502,0.2856547376203672,0.3770943111754444,0.0,0.2856547376203672,0.6229056888245557,1.0,0.5634241705779692,56.34241705779692,Transitioning
Hungary,8.957308769226074,228.8999938964844,0.935742199420929,0.1090780563038775,0.1573924810582944,0.1241823804970886,0.1090780563038775,0.8426075189417056,0.8758176195029114,0.5558377539988155,55.58377539988155,Transitioning
Germany,20.32915496826172,419.739990234375,0.8838343024253845,0.24764070860889864,0.3066658210116946,0.11253381680885052,0.24764070860889864,0.6933341789883054,0.8874661831911494,0.5538831916771115,55.38831916771115,Transitioning
Vietnam,25.31220245361328,415.4100036621094,1.5513176918029783,0.30835769897680665,0.30327894420390494,0.26232263935878547,0.30835769897680665,0.696721055796095,0.7376773606412146,0.5495669740374036,54.956697403740364,Transitioning
Italy,15.951094627380373,377.8399963378906,0.8218432664871216,0.19429531137380518,0.2738920201681788,0.09862251290284382,0.19429531137380518,0.7261079798318212,0.9013774870971561,0.5484368139016819,54.843681390168186,Transitioning
Greece,18.782621383666992,376.80999755859375,1.1911442279815674,0.22879664480346223,0.27308636432619615,0.18149671931626982,0.22879664480346223,0.7269136356738038,0.8185032806837302,0.5459847683276525,54.59847683276525,Transitioning
Netherlands,14.41684627532959,326.07000732421875,1.0846837759017944,0.1756009395687422,0.23339799733378785,0.1576061086749584,0.1756009395687422,0.7666020026662121,0.8423938913250416,0.54535995515899,54.535995515899,Transitioning
Turkey,18.035873413085938,487.9299926757813,0.8252526521682739,0.2196977370627053,0.36000343163413956,0.0993876073979662,0.2196977370627053,0.6399965683658604,0.9006123926020337,0.524000200691833,52.4000200691833,Transitioning
Argentina,12.00951099395752,392.6900024414063,1.1711599826812744,0.14626825640225202,0.28550756225546425,0.1770120885063987,0.14626825640225202,0.7144924377445357,0.8229879114936013,0.5089018599574354,50.89018599574354,Transitioning
Pakistan,10.570693969726562,435.3699951171875,0.7423986196517944,0.1287366876868779,0.31889147117474764,0.08079447358870395,0.1287366876868779,0.6811085288252523,0.919205526411296,0.5077791918871113,50.77791918871113,Transitioning
Venezuela,26.48430061340332,180.42999267578125,4.316129207611084,0.3226393755788095,0.11947967918971039,0.8827693322893271,0.3226393755788095,0.8805203208102896,0.11723066771067292,0.5047100120977742,50.47100120977742,Transitioning
Ukraine,7.502861022949219,250.47000122070312,2.0014472007751465,0.09135603176750347,0.1742643480562616,0.3633354438973261,0.09135603176750347,0.8257356519437384,0.6366645561026739,0.4941695847050316,49.41695847050316,Transitioning
United States,10.874505996704102,410.3900146484375,1.360092282295227,0.13243854924245738,0.29935235365171575,0.21941006746916253,0.13243854924245738,0.7006476463482842,0.7805899325308374,0.48935246474246413,48.93524647424641,Transitioning
